t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
0.0000,-1.7012,2.8640,1.8112,-0.1208,0.0309,-0.0281,0.3435,0.0036,-0.0367,0.8572,1.2140,2.9367
0.0001,-1.8718,1.3837,1.6979,-0.1399,0.0820,-0.0134,0.1172,0.0666,-0.0107,1.9494,-1.7051,-0.1887
0.0045,0.0551,-0.0169,-0.0076,-0.1757,0.0471,-0.0268,0.0726,-0.0103,-0.0135,-0.0635,2.6501,2.9483
0.0153,0.3731,-1.6046,0.0221,-0.1492,0.0810,-0.0142,0.1055,0.0617,-0.0105,-0.2875,1.4667,1.5408
0.0247,-0.3629,0.4842,0.9287,0.5398,-0.0291,0.0680,1.0910,-2.9591,2.9412,-1.1110,0.6356,-0.0136
0.0345,0.1501,0.2050,0.7427,-0.0457,0.0376,-0.0033,0.0564,-0.6810,0.0519,-0.0574,0.0346,-0.0014
0.0448,0.1654,0.1915,0.7683,-0.0506,0.0380,-0.0030,0.0393,-0.6794,0.0586,-0.0499,0.0351,-0.0007
0.0549,0.3909,0.2081,0.8454,-0.2027,0.0526,-0.0179,-0.0445,-0.1022,-0.0048,0.0597,-0.0385,-0.0017
0.0650,0.1150,0.0784,-0.0085,0.0196,-0.0010,0.0025,0.0908,1.4110,1.9448,-0.1329,0.0533,-0.0070
0.0752,0.0538,0.0439,-0.0031,0.0080,0.0044,0.0016,0.1038,0.7201,1.0499,-0.0920,0.0401,-0.0041
0.0857,0.1091,0.0284,-0.0223,-0.1621,-0.0023,-0.0175,0.3934,2.9900,2.8209,-0.0752,-0.0284,-0.0128
0.1843,0.6039,0.3540,-0.0473,0.8598,-2.9836,2.9444,-1.4226,1.9580,2.8813,-0.2334,0.1513,-0.0235
0.2030,0.1273,0.0859,-0.0098,-0.1614,-1.0453,0.2158,0.2305,1.5679,1.6746,-0.1211,0.0657,-0.0075
0.2194,0.0728,0.0426,-0.0031,-0.1267,-0.0835,0.6212,0.0770,0.0313,-0.0038,-0.1603,-0.1192,0.4357
0.2423,-0.0285,-0.0186,0.0016,-0.0882,0.0208,-0.0088,-0.0062,0.0017,-0.0012,0.1705,0.7371,0.9842
0.2624,0.0812,0.0493,-0.0038,-0.0219,-0.0884,0.7347,0.1070,0.0359,-0.0046,-0.3334,-0.4170,0.2003
0.2827,0.1320,0.0900,-0.0098,1.6790,1.2659,1.4588,-1.6845,-1.3349,0.1179,-0.1218,0.0727,-0.0075
0.2987,0.1291,0.0898,-0.0096,1.6655,1.2392,1.4573,-1.6740,-1.3494,0.0793,-0.1195,0.0730,-0.0075
0.3087,0.1433,0.1273,-0.0004,0.7405,-1.1818,0.9191,-1.0295,-1.3622,-0.5729,-0.0965,0.1417,0.0008
